RefID,Author,Title,Abstract,Reason,Labels,"Response Sets",Attachments
1,"Hale, RMM","A case study of the four-day school week in five South Dakota prekindergarten-12 public schools",,"duplicate of 3054","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
9,"Gaines, GF","Focus on the School Calendar: The Four-Day School Week",,"duplicate of 781","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
44,"Turner, Jon, Finch, Kim, Uribe-Zarain, Ximena","Staff Perspectives of the Four-Day School Week: A New Analysis of Compressed School Schedules",,"duplicate of 430","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
74,"Plucker, JA, Cierniak, K, Chamberlin, M","The Four-Day School Week: Nine Years Later",,"duplicate of 612","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
115,"Thompson, Paul N, Tomayko, Emily J, Gunter, Katherine B, Schuna, John, Jr","Impacts of the four-day school week on high school achievement and educational engagement","Four-day school week schedules are being adopted with increasing frequency, particularly in rural areas. In this paper, we consider the academic implications of students in Oregon attending a four-day school week for the first time when they enter high school. We find 11th grade math achievement in 0.09 standard deviations lower among four-day school week students, with significant impacts driven by four-day school week students in non-rural settings. We also find a greater number of four-day school week students being classified as chronically absent. Finally, we find reductions in on-time graduation among four-day school week students compared to five-day students.","duplicate of 50","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
123,"Roling, Tim, Carter, Gregory, Hull, Lisa Suzanne, Odneal, Becky","The school leader and policymaker's guide to a four-day school week: Considerations, implementation, tools, and best practice","This product development report addresses the components for an operations manual, which will serve as a guide for school districts pursuing or implementing a four-day school week. The product will provide school districts with a resource to address their needs, questions, and concerns around all aspects of the transition to a four-day school week, including policy, community relations, human resources, scheduling, finances, and student achievement.    Over the past five years, weakening economic conditions have wreaked havoc across the country in most industries. Missouri public school districts have not been spared the hardship, as decreases in property tax subsidies and state budget shortfalls create lasting deficiencies in funding. With the passage of four-day school week/alternative calendar legislation, this economic crisis has spurred school districts in Missouri and across the nation to investigate options for an alternative calendar or four-day school week in order to reduce spending.    The need for an operations manual surfaced as the team examined four-day school week research and during the interviews of state department leaders from many states expressing limited guidance existed for districts investigating or making the transition to a four-day school week. District leaders considering this change have been forced to conduct their own research and develop an implementation plan without any guidance. As more and more districts consider this option, it will be beneficial for them to have a guide with the resources needed to implement the four-day school week. The purpose of this study was to identify what school leaders and policymakers need to know when considering or implementing a four-day school week.    An expert panel, consisting of school leaders and state education officials knowledgeable in educational policy and in the research and practice of school district administration reviewed the operations manual as part of the pilot. Following the expert panel review, the manual was refined based on recommendations and submitted to another expert panel for field test feedback. A complete evaluation of the final field-test recommendations and revisions were incorporated into the manual.","duplicate of 23","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
143,"Husted, Jessica L., Davis, Derald E., Haniger, Jason T., Lewis, Jared R.","A Project Focusing on Superintendents' Knowledge of Evidence-Based Practices of Structuring Time for Student Learning","This report describes a problem based learning project focusing on superintendents’ knowledge of evidence-based practices of structuring time for student learning. Current research findings offer evidence that structuring time for student learning is an important factor in student achievement. School district superintendents are challenged with the issue of structuring time for optimal student learning and maintaining ideal transportation routes, school activities, and community support. The goal of this project was to determine if superintendents possess knowledge of structuring time for optimal student learning and apply those various strategies to effectively structure time in their districts’ school scheduling process.    Three strategies were identified to effectively structure time for optimal student learning through a review of literature. The strategies are: alternative calendars, start times, and flexibility for mastery within the daily schedule. The definition for each strategy was created through research in literature and review of an expert panel, which resulted in the definitions used in the project. A set of interview questions and an analysis instrument were developed for use during conversations with superintendents to determine the superintendents’ knowledge and application of structuring time for optimal student learning. The qualitative analysis of the superintendent interviews concluded even though each superintendent interviewed recognized some of the knowledge and research supporting structuring time for optimal student learning, none identified application of all strategies suggested by literature. Furthermore, other circumstances were recognized that seemed to affect superintendents’ application of structuring time for optimal student learning. Recommendations were made to superintendents. The goal of the recommendations was to improve the superintendents’ knowledge and application of structuring time for optimal student learning for future scheduling processes that occur at the district and building level.","duplicate of 138","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
150,"Haniger, Jason T., Davis, Derald E., Husted, Jessica L., Lewis, Jared R.","A Project Focusing on Superintendents' Knowledge of Evidence-Based Practices of Structuring Time for Student Learning","This report describes a problem based learning project focusing on superintendents’ knowledge of evidence-based practices of structuring time for student learning. Current research findings offer evidence that structuring time for student learning is an important factor in student achievement.  School district superintendents are challenged with the issue of structuring time for optimal student learning and maintaining ideal transportation routes, school activities, and community support. The goal of this project was to determine if superintendents possess knowledge of structuring time for optimal student learning and apply those various strategies to effectively structure time in their districts’ school scheduling process. (Abstract shortened by ProQuest.)","duplicate of 138","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
161,"Cameron, Anglum J, Park, Aaron","Keeping Up With the Joneses: District Adoption of the 4-Day School Week in Rural Missouri","In recent years, rural school district adoption of 4-day school weeks has grown markedly. Despite this rapid growth, scant empirical evidence has documented the factors associated with district adoption and subsequent effects on student, labor, and economic outcomes. We examine the spread of the 4-day school week in rural Missouri, where over 10% of the state’s districts have adopted the policy in the past decade, the majority over the past 2 years. To help policymakers understand why districts forgo a day of instruction and to contextualize postpolicy effects, we conduct a survival analysis to assess student, district, and staff characteristics associated with policy adoption. We find that the presence of nearby 4-day school week districts most strongly predicts policy adoption. Adopting districts typically offer lower teacher salaries than nearby districts and have declining student enrollments. Our findings may inform policy focused on teacher recruitment and retention in rural locales.","duplicate of 33","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
162,"Cameron, Anglum J","When five shrinks to four: Assessing the four-day school week in rural locales","In rural school districts across the country, four-day school weeks have proliferated. Currently adopted in 1,600 schools in 600 school districts, 90% of which are rural, four-day school week policies have prospered largely without a robust body of evidence to support their expansion. J. Cameron Anglum presents an overview of four-day school week policy expansion and describes a few of the studies into its effects on students, families, and communities.","duplicate of 34","Initial RIS Import","Scoping Review Screening, Title & Abstract Screening",
